ID	sel	HB
3145	SEL	81.18286409
3152	SEL	83.38084232
3154	SEL	97.66517635
3155	SEL	84.96376812
3156	SEL	90.18342391
3160	SEL	86.46111854
3162	SEL	88.28682674
3163	SEL	98.1544665
3164	SEL	75
3165	SEL	89.87549841
3169	SEL	74.12430759
3172	SEL	98.10606061
3173	SEL	100
3175	SEL	97.05957439
3498	SEL	97.79411765
3507	SEL	100
3508	SEL	91.05833963
3510	SEL	92.3348064
3516	SEL	69.8326432
3517	SEL	98.52941176
3518	SEL	99.609375
3519	SEL	99.59677419
3520	SEL	98.82041406
3521	SEL	100
3522	SEL	97.11748634
3523	SEL	92.02256944
3525	SEL	94.57983193
3780	CON	58.59901089
3800	CON	75.92039801
3803	CON	59.38177445
3822	CON	50.85504106
3824	CON	53.37600547
3828	CON	74.43722322
3841	CON	73.97938351
3858	CON	66.28032456
3862	CON	67.86173667
3867	CON	86.18573061
3870	CON	83.00438596
3774	CON	77.6
3504	SEL	92.6
3505	SEL	76.7
