Gene	Chromosome	GB	Reg
Gat-a	1	GB54918	UP
LOC410689	1	GB42233	UP
Notum	1	GB49269	UP
bgm	1	GB51580	DWN
GMCOX12	1	GB43007	DWN
LOC408608	1	GB48969	DWN
LOC410736	1	GB48967	DWN
LOC410788	1	GB49268	DWN
LOC413907	1	GB45833	DWN
LOC551761	1	GB40837	DWN
LOC552229	1	GB46514	DWN
LOC724239	1	GB51583	DWN
LOC725238	1	GB47506	DWN
MsrA	1	GB55004	DWN
LOC100577331	10	GB51373	UP
LOC410207	10	GB50971	UP
Myo20	10	GB54226	UP
Syn1	10	GB54295	UP
Cda5	10	GB51063	DWN
LOC406144	10	GB47318	DWN
CTL6	11	GB55225	DWN
CYP4AZ1	11	GB47270	DWN
LOC100578120	11	NA	DWN
LOC408361	11	GB45023	DWN
LOC725051	11	GB45278	DWN
LOC100576840	12	GB55068	UP
LOC410149	12	GB51783	UP
LOC552190	12	GB51979	UP
FAR1	12	GB49380	DWN
TpnCIIIa	12	GB40619	DWN
CYP6AS1	13	GB40288	UP
CYP6AS11	13	GB49876	DWN
CYP6AS8	13	GB49877	DWN
LOC408414	13	GB47990	DWN
LOC408420	13	GB48007	DWN
LOC724644	13	GB53860	DWN
LOC726040	13	GB40077	DWN
LOC726790	13	GB54723	DWN
LOC406105	14	GB43571	DWN
LOC408474	14	GB52756	DWN
LOC551908	15	GB44409	UP
LOC409740	15	GB49504	DWN
NimC2	15	GB50509	DWN
CPR5	16	GB40299	UP
Cyp4g11	16	GB51356	DWN
LOC726418	16	GB45609	DWN
Pka-C1	2	GB43433	UP
Pka-C1	2	GB43468	UP
A4	2	GB55452	DWN
LOC100576118	2	GB55613	DWN
LOC410087	2	GB45906	DWN
TpnI	2	GB55598	DWN
Cac	3	GB51897	UP
Cac	3	GB51898	UP
LOC408734	3	GB47042	UP
LOC552149	3	GB41240	DWN
Sur	3	GB55764	DWN
LOC100578672	4	GB50449	UP
LOC725646	4	GB42985	UP
jhamt	4	GB44043	DWN
LOC411202	4	GB44209	DWN
LOC413936	4	GB53064	DWN
LOC726733	4	GB53077	DWN
SP23	4	GB50482	DWN
LOC724228	5	GB50292	UP
LOC409060	5	GB44500	DWN
LOC100578804	6	NA	UP
Grx-like1	6	GB52955	DWN
LOC409787	6	GB43052	DWN
LOC725017	6	GB54460	DWN
LOC726672	6	GB54410	DWN
TpnT	6	GB51214	DWN
LOC412162	7	GB49219	UP
LOC724749	7	GB42493	UP
LOC100577380	7	NA	DWN
Hex70c	8	GB51696	DWN
LOC411285	8	GB54818	DWN
LOC725838	8	GB48842	DWN
LOC100577133	9	GB54001	DWN
LOC725026	9	GB42673	DWN
Obp4	9	GB53372	DWN
