GB	pattern
GB52034	C2
GB42525	C2
GB51089	C2
GB51029	C2
GB47129	C2
GB43562	C2
GB40798	C2
GB45795	C2
GB55370	C2
GB55419	C2
GB44402	C2
GB42414	C2
GB43989	C2
GB45598	C2
GB53607	C2
GB51955	C2
GB42776	C2
GB48737	C2
GB48901	C2
GB49903	C2
GB45829	C2
GB49953	C2
GB45670	C2
GB46707	C2
GB50067	C2
GB42175	C2
GB54287	C2
GB46268	C2
GB55440	C2
GB47134	C2
GB40887	C2
GB41385	C2
GB41386	C2
GB47153	C2
GB52047	C2
GB55550	C2
GB54595	C2
GB40745	C2
GB44890	C2
GB51334	C2
GB51002	C2
GB53246	C2
GB42285	C2
GB52179	C2
GB54460	C2
GB46121	C2
GB46375	C2
GB50335	C2
GB51867	C2
GB49085	C2
GB53968	C2
GB46581	C2
GB51664	C2
GB45257	C2
GB46764	C2
GB48926	C2
GB49596	C2
GB54228	C2
GB55847	C2
GB54300	C2
GB49364	C2
GB43742	C2
GB41154	C2
GB41155	C2
GB40977	C2
GB51427	C2
GB49013	C2
GB55368	C2
GB45378	C2
GB40718	C2
GB42667	C2
GB43672	C2
GB53920	C2
GB46420	C2
GB45421	C2
GB41602	C2
GB55587	C2
GB50944	C2
GB47305	C2
GB48216	C2
GB44905	C2
GB45693	C2
GB41686	C2
GB50929	C2
GB52497	C2
GB43456	C2
GB51555	C2
GB46672	C2
GB45127	C2
GB45764	C2
GB55328	C2
GB51224	C2
GB45523	C2
GB47455	C2
GB51410	C2
GB55849	C2
GB50872	C2
GB47969	C2
GB43388	C2
GB48770	C2
GB55459	C2
GB46059	C2
GB55455	C2
GB50274	C2
GB51930	C2
GB42809	C2
GB55919	C2
GB43827	C2
GB49047	C2
GB52499	C2
GB45173	C2
GB44598	C2
GB40706	C2
GB48072	C2
GB54659	C2
GB46898	C2
GB44341	C2
GB47259	C2
GB43194	C2
GB46643	C2
GB40760	C2
GB53038	C2
GB48894	C2
GB43841	C2
GB49111	C2
GB41454	C2
GB56018	C2
GB45393	C2
GB44418	C2
GB48318	C2
GB51130	C2
GB47946	C2
GB47593	C2
GB40015	C2
GB40560	C2
GB54571	C2
GB51598	C2
GB47802	C2
GB43449	C2
GB47657	C2
GB51054	C2
GB51052	C2
GB41082	C2
GB55542	C2
GB41449	C2
GB42571	C2
GB43300	C2
GB47889	C2
GB51483	C2
GB40800	C2
GB42317	C2
GB50686	C2
GB47907	C2
GB45989	C2
GB45099	C2
GB55250	C2
GB50850	C2
GB42263	C2
GB51694	C2
GB41174	C2
GB54653	C2
GB44869	C2
GB44340	C2
GB49167	C2
GB53206	C2
GB53676	C2
GB43707	C2
GB50044	C2
GB48423	C2
GB40436	C2
GB40018	C2
GB44559	C2
GB49492	C2
GB47208	C2
GB54423	C2
GB51465	C2
GB51490	C2
GB54259	C2
GB55958	C2
GB53004	C2
GB55535	C2
GB44014	C2
GB51544	C2
GB54194	C2
GB40456	C2
GB47430	C2
GB54701	C2
GB45698	C2
GB54451	C2
GB47816	C2
GB50699	C2
GB45551	C2
GB52060	C2
GB40142	C2
GB44965	C2
GB44966	C2
GB53703	C2
GB43185	C2
GB53357	C2
GB42036	C2
GB45367	C2
GB55232	C2
GB46513	C2
GB51294	C2
GB53149	C2
GB52198	C2
GB43116	C2
GB52037	C2
GB47420	C2
GB50524	C2
GB54371	C2
GB50252	C2
GB47834	C2
GB52659	C2
GB46903	C2
GB43379	C2
GB51991	C2
GB48604	C2
GB42834	C2
GB55367	C2
GB49633	C2
GB48636	C2
GB55748	C2
GB51586	C2
GB41363	C2
GB47904	C2
GB42679	C2
GB50333	C2
GB51072	C2
GB49377	C2
GB44520	C2
GB55901	C2
GB46562	C2
GB49031	C2
GB46750	C2
GB46776	C2
GB55528	C2
GB54747	C2
GB54573	C2
GB45225	C2
GB44878	C2
GB41207	C2
GB53065	C2
GB45334	C2
GB52256	C2
GB41084	C2
GB44033	C2
GB54814	C2
GB49177	C2
GB49994	C2
GB40653	C2
GB51716	C2
GB54433	C2
GB47433	C2
GB41039	C2
GB54192	C2
GB40777	C2
GB40776	C2
GB50959	C2
GB50996	C2
GB48306	C2
GB48305	C2
GB54183	C2
GB40307	C2
GB40204	C2
GB40205	C2
GB45370	C2
GB42520	C2
GB53438	C2
GB46544	C2
GB54618	C2
GB40252	C2
GB51497	C2
GB46503	C2
GB44421	C2
GB44580	C2
GB41411	C2
GB50607	C2
GB49812	C2
GB49522	C2
GB44761	C2
GB40744	C2
GB52220	C2
GB41754	C2
GB47314	C2
GB47764	C2
GB51503	C2
GB43301	C2
GB52079	C2
GB41146	C2
GB45537	C2
GB53934	C2
GB51364	C2
GB53945	C2
GB51192	C2
GB52727	C2
GB55596	C2
GB42516	C2
GB50832	C2
GB46209	C2
GB40975	C2
GB50718	C2
GB54837	C2
GB52726	C2
GB55472	C2
GB45071	C2
GB54447	C2
GB43229	C2
GB48170	C2
GB41859	C2
GB47231	C2
GB50133	C2
GB43176	C2
GB54585	C2
GB51414	C2
GB40146	C2
GB51703	C2
GB55960	C2
GB42753	C2
GB42970	C2
GB54045	C2
GB40033	C2
GB47345	C2
GB55014	C2
GB41083	C2
GB55987	C2
GB45944	C2
GB40429	C2
GB42944	C2
GB50757	C2
GB40799	C2
GB42401	C2
GB53084	C2
GB50202	C2
GB46915	C2
GB42394	C2
GB46775	C2
