GB	cluster
GB40012	C3
GB40057	C3
GB40071	C1
GB40074	C8
GB40076	C4
GB40089	C4
GB40092	C3
GB40102	C7
GB40108	C5
GB40113	C8
GB40118	C3
GB40145	C3
GB40147	C3
GB40150	C1
GB40151	C3
GB40168	C3
GB40196	C4
GB40206	C6
GB40225	C6
GB40231	C4
GB40237	C2
GB40263	C2
GB40265	C1
GB40270	C3
GB40288	C7
GB40289	C2
GB40306	C3
GB40308	C5
GB40341	C2
GB40360	C1
GB40360	C2
GB40382	C6
GB40386	C2
GB40387	C5
GB40407	C7
GB40423	C6
GB40434	C5
GB40444	C2
GB40453	C1
GB40454	C1
GB40473	C4
GB40489	C7
GB40503	C5
GB40513	C1
GB40515	C2
GB40523	C3
GB40555	C2
GB40559	C8
GB40562	C1
GB40564	C3
GB40565	C2
GB40574	C5
GB40577	C2
GB40598	C5
GB40599	C2
GB40615	C5
GB40624	C2
GB40626	C8
GB40629	C2
GB40634	C1
GB40638	C6
GB40648	C3
GB40648	C3
GB40654	C1
GB40672	C2
GB40674	C1
GB40700	C1
GB40705	C5
GB40716	C8
GB40734	C6
GB40748	C1
GB40750	C2
GB40765	C5
GB40769	C1
GB40773	C8
GB40780	C8
GB40782	C1
GB40785	C1
GB40794	C5
GB40802	C4
GB40806	C1
GB40843	C1
GB40845	C5
GB40867	C2
GB40868	C1
GB40871	C3
GB40875	C2
GB40883	C1
GB40884	C1
GB40889	C2
GB40901	C1
GB40908	C3
GB40909	C1
GB40911	C1
GB40926	C2
GB40931	C4
GB40944	C3
GB40955	C8
GB40971	C4
GB40977	C1
GB40980	C4
GB40992	C6
GB41024	C1
GB41025	C1
GB41029	C8
GB41031	C6
GB41032	C4
GB41043	C5
GB41045	C8
GB41046	C3
GB41063	C1
GB41064	C3
GB41065	C8
GB41066	C6
GB41097	C2
GB41104	C4
GB41126	C7
GB41137	C4
GB41141	C2
GB41152	C3
GB41153	C6
GB41157	C7
GB41159	C3
GB41167	C7
GB41198	C4
GB41213	C6
GB41232	C4
GB41239	C1
GB41250	C4
GB41252	C2
GB41294	C1
GB41335	C2
GB41338	C4
GB41344	C3
GB41367	C4
GB41372	C3
GB41372	C3
GB41376	C3
GB41385	C3
GB41388	C2
GB41389	C4
GB41391	C6
GB41393	C6
GB41397	C2
GB41412	C8
GB41414	C4
GB41446	C5
GB41450	C2
GB41469	C1
GB41484	C8
GB41485	C1
GB41487	C5
GB41489	C2
GB41499	C4
GB41516	C3
GB41522	C5
GB41523	C3
GB41549	C1
GB41562	C3
GB41569	C7
GB41600	C5
GB41602	C3
GB41639	C1
GB41647	C3
GB41654	C5
GB41655	C5
GB41659	C3
GB41667	C1
GB41668	C1
GB41672	C2
GB41688	C2
GB41690	C1
GB41694	C3
GB41700	C3
GB41707	C4
GB41718	C1
GB41725	C5
GB41737	C1
