GB	Taxonomy	ant	brn	gang	mandgl	midg	thorax	nasanov	sting	hpg	malptubes
GB42422	Conserved	3133.9	2067.1	5263.945572	4109.663386	2541.028134	46484.1446	2683.941417	3482.38	749.5069558	4751.550494
GB47934	Hymenoptera	47.5	0	0.329064505	5.24520874	0.303700913	2.487447957	83.79266033	12.63	0.017614301	0.167085182
GB52910	Conserved	18.6	152.5	49.56831211	0.266724444	0.623603739	414.5312113	1.646560976	6.22	0.090847377	2.086267691
GB17921	Conserved	1.6	75.8	20.52673811	0.323771681	0.767529752	0.057115102	0.194322787	0.17	0.021839179	0.622905024
GB47876	Conserved	100.2	193.7	160.1455003	5.05442921	4.681785155	3.747638234	21.62590248	18.21	24.83217369	2.1206552
GB46031	Conserved	1764.9	1436.1	2650.438847	2046.559941	4252.805868	498.9921634	1241.872413	874.71	271.9029415	8607.146325
GB51292	Conserved	0.6	0.4	95.82535227	0.083001591	0.045850434	8.250261795	2.890759934	1.98	0.034787744	0.197903827
GB50226	Conserved	1191.4	3457.3	8136.58875	623.7447671	8.166975996	337.0993826	6471.094765	514.8	278.1912545	25.45338294
GB44549	Conserved	0.8	117.3	0.230684465	87.61657712	0	0.02365555	41.51345197	0.08	14208.86884	58.8566208
GB40923	Conserved	17	70.9	59.51961068	4.374705369	0.839107783	1.523509091	2.369346173	3.18	1.462323829	13.44058404
GB49544	O-TRGs	6.7	3.5	175.8030859	536.5461347	0.236637662	22.78085613	15622.77718	27.14	1.36284662	5.804749936
GB55205	O-TRGs	2.8	561.9	5.772273053	1892.516823	0.144919627	0.437566939	0.178155914	2.42	244256.1954	102.9843169
GB55212	O-TRGs	1	23.7	2.851842116	408.2303563	0.017765162	0.216782951	1.267273269	1.37	43658.07421	20.03551372
GB49908	Conserved	113.8	83.6	98.44815305	127.3046369	57.33748203	61.81654457	58.41473656	98.69	59.34328363	242.8531521
GB53576	Orphan	22.4	2035.7	8.312974677	2312.717341	47.10456575	1.265549611	9.659622517	4.64	293689.5575	881.4893875
GB52324	Arthropod	18678.5	446.6	1553.243752	1048.079426	209.7509494	3829.566752	1391.583867	5446.67	77.93233509	1082.622583
GB48510	Conserved	0	0.2	0	0.025894761	0	0	0.01895727	18.62	0.082113609	0
GB50043	Conserved	1.2	3	1.202144551	0.04649012	0.083728359	1.063044574	0.221423854	0.52	0.031290572	0.775102226
GB42024	Conserved	74.4	57.1	56.35308811	67.65661058	40.61668516	58.629564	39.52222884	30.81	12.74306076	64.60794235
GB53367	Insect	9971.3	0.6	1.243568698	0.797170605	0.037885926	0	0.427965472	5.63	0.020022134	0.243694945
GB53372	Orphan	5253.9	280.4	58.15211095	15.00632362	0.417412608	14.00091279	281.9030893	203.71	0.219192318	0.555393619
GB55593	Insect	103041.4	0.8	8.170076743	5.349510638	0.04778643	0.259510579	1.211847926	2.17	0.488356132	0.374530365
GB53369	Hymenoptera	60425.4	0	0.502952968	0.036679278	0	0	0.466164768	1.49	0.1241098	0.193108523
GB40708	Conserved	57.1	40.5	102.359972	45.79183207	156.4664586	10.88112001	32.39864963	26.34	11.20914932	34.03114763
GB52077	Conserved	56.6	79.2	49.66731838	10.5157492	35.43358892	294.5099824	60.34706475	63.84	34.00666357	81.59325981
GB49785	Conserved	0	6.9	7.687566332	0	0	0	0	0.05	0.017060765	0
GB49854	Conserved	1.1	165.1	2.315622185	1.22126526	4865.34843	1.063033526	1.060696005	5.6	1312.833438	36.97897018
GB55208	O-TRGs	0.4	172	3.944099054	161.141934	0.029048036	0.101461162	0.617995291	1.19	37843.66586	25.9270992
GB51697	O-TRGs	1.8	11.7	42.63450797	3.361642694	2.815339351	1.422770754	26.66852731	3.21	0.021010518	4.60935197
GB55204	O-TRGs	1.2	5.9	2.367846294	633.0329314	0.068276959	0.107670807	0.68855265	0.62	62884.43329	23.88495797
GB53296	Arthropod	29.6	98.8	71.54551277	2.954188242	7.479825929	15.17224936	7.921746536	6.32	0.981294833	40.17783817
GB51369	Conserved	27.4	41.5	40.74790628	11.94319445	7.123329354	8.674070031	11.88289686	10.02	5.518680568	642.292884
GB41643	Conserved	0.3	5.6	0	0.012191632	0	0	0.011851259	0	0	0
GB44112	Orphan	8	0.3	3.291358368	1.59227659	206.5777279	0.643696807	3874.379071	1347806.05	0.194681146	116.5826787
GB43247	Conserved	0	0.2	0	0	0	0.086339857	0	0	0.958330513	0.033988127
GB55206	O-TRGs	0.9	18.1	10.20358158	136.5464354	0.111541971	0.390433727	0.521213138	2.17	16018.715	5.422563338
GB40696	Orphan	0.1	0.1	0	0	1.428977526	0	21.38754181	14333.3	0	1.401769004
GB40697	Orphan	0	0	0	0	0.867257742	0	12.06182173	7971.58	0	0.139909933
GB47546	Orphan	10.3	4.2	261.8344989	364.2048107	0.549607901	16.21595967	5116.697029	44.6	26.53582553	17.45860364
GB48228	Conserved	0.4	4.5	1.092768534	0.060446201	4.914731457	0	121.2745116	35299.77	0.053427228	4.561013858
GB51223	Hymenoptera	114.8	11.8	329.6254802	189.739837	289.0378991	15.07790515	919.9063644	204.81	559.5017636	683.3931689
GB41428	Hymenoptera	64.4	113.8	88.28835973	1645.123311	2.695841688	16.33923351	155.254746	83.93	23352.51665	40.75220142
0.0	Hymenoptera	0	0	0.205624329	0.149691252	0	0	2.010137366	0.3	0.518955225	1.550579876
GB52775	Conserved	1.7	3.3	0.89575869	12.69755651	0.097739734	0.213753155	293.9174685	106.52	0	0.045056291
GB54419	Conserved	2.2	1.2	2.312311646	0.654822195	0.92351002	1.452602102	2.333565624	1.45	0.189491837	2.080461838
GB53053	Conserved	1.7	59.1	9.83291759	33.08462818	0	0.045777219	0.110287728	0.7	0.01781933	0.234794507
GB55207	O-TRGs	0	0.4	0.019657349	0.014009613	0	0	0	0	69.60656236	0.225933477
GB43738	Conserved	38.7	7.3	18.76053973	46.49766204	4.252953073	31.860745	59.39339591	123.86	22.40678316	13.87585462
GB50048	O-TRGs	0.8	1	0.419853877	0.246143708	0.431407328	0.039901005	0.408772467	0.43	0.056590355	0.166282769
GB45951	O-TRGs	193	1417.8	4177.776664	42.36493998	34.78491079	13.05174752	5.988311234	50.03	1.343820171	7.859721278
GB47618	Insect	0.4	0.6	2.296651923	0.391185698	0	0	0.227707966	0.71	0	0
GB50196	Conserved	0.6	141	0.998035765	7.704870212	0.161171519	0.204892525	0.78470058	0.24	0.664658442	0.21703889
GB48492	Arthropod	11.9	0.5	0.352344497	2.502745735	20.91369557	13.41747892	18.7861478	15.48	0.065257693	2.714374233
GB51198	Conserved	0	4.4	4.085922133	0	0	0	0	0.01	0	0
GB55240	Conserved	10.9	2.1	12.62112058	7.231248794	3.618970972	7.907643106	4.989570972	3.02	1.505572951	7.099696408
GB52929	Conserved	49.1	171.3	115.3687665	0.337328887	0.042803283	0.206960825	0.12571942	1.03	0.129274202	0
GB40619	Conserved	1241.2	12.9	59.34266966	69.49014744	15.69002047	103.9722135	491.2837078	5384.78	0.397813125	163.9810271
GB40618	Conserved	11.8	11.2	10.28846348	0.605893161	1.190451875	11621.71121	23.32486887	7.32	0.031376677	15.09167503
GB19642	Conserved	200	21.5	32.34762912	19.10363515	23.80586844	45.55199532	127.770101	259.94	0.210537848	33.27832937
GB48216	Conserved	16.4	0.6	11.80204427	1.118000653	13.2684864	1.420173954	46.69258777	69.18	0.032429585	29.51660299
GB40439	O-TRGs	46	148.1	24.67758869	0.09648959	0.825263536	0.093953788	0.148976143	2.28	0.198816428	121.8940719
GB41314	Conserved	2	31.3	24.68395182	1.360208464	0.323402835	0.25573878	10.03791903	2	0.068606691	1.334341433
GB53651	Conserved	27.2	152.9	110.6451157	1.727920638	1.509078934	19.01947558	1.684056953	3.38	0.463364895	2.3219688
GB41338	Conserved	1.1	0	0	0.042987975	0.106307298	0	0.232428572	1.8	0.022142604	0.355001395
GB43456	Conserved	55.3	129.5	61.40959347	15.83557747	7.909983307	2.974890781	6.170604465	4.76	0.846752872	2.158009091
GB55213	O-TRGs	28.8	12.6	42.18517048	120.880434	7.155427594	6.947550651	61.67590768	61.68	14019.32035	266.64774
GB43168	Conserved	7.1	21.5	15.82635177	0.590700563	4.429490161	0.960364859	0.735689756	2.04	0.121972474	13.36307773
GB41388	Conserved	162.7	428.8	299.1213388	132.4729138	316.8046564	36.54790592	684.5814459	57.58	24.18358338	474.058942
GB55215	O-TRGs	288.4	0.5	0.226301732	47.7621743	0.015298054	5.000745596	43.28700728	107.6	6.326088639	0.556895108
GB50936	Insect	3.1	102.5	40.8964603	1.167277977	0.43623529	2.323912497	1.477134255	1.37	0.355695938	0.873026159
GB46225	Insect	8516.4	1.7	0	77.39349915	0.441165298	0.659523962	109.6255855	379.68	0.509556556	0.276948606
GB46230	Hymenoptera	8505.5	6.3	4.559994448	218.9753842	1.137293127	395.8394692	3396.924131	3518.4	6.169772376	17.8978076
GB46226	Orphan	708.9	1	0.710996038	50.73963486	3.098371626	48.97276386	898.5721527	150.89	2.132469791	3.136339701
GB53370	Orphan	12.3	0	0.06909564	0.172202841	0.233587108	0	1265.479511	1.65	0.061484816	0.094585819
GB46223	Hymenoptera	5.3	6.8	91.44352947	291.6485127	0.370599282	58.02446149	12448.88469	83.27	1.151599978	10.88583903
GB46222	Insect	0.2	0.3	0.351711228	5.966400459	4.881261508	2.618901986	339.2409952	7.8	0.036330889	0.221794243
GB50151	Insect	0.4	0	0.44742417	0.555517699	40.74155019	0	0.491767874	0.48	0	2.269513478
GB50937	Insect	2025	3.9	29.89067809	43.23091689	25.84551863	14.41496826	28.73761667	14.72	4.341560994	38.74412638
GB46227	Hymenoptera	23.6	0	0	0.566923127	0	0.096589805	3.032275487	0.25	0	0
GB40616	Orphan	242.6	18.9	8.690666688	6.421388367	1.779788541	0.202612657	177.3597973	5.38	0.096000163	98.2026857
GB41856	Conserved	14.4	519.8	210.2875823	0.052905757	0.30601489	0.588800293	0.027979768	2.9	0.063534016	0.538425998
GB49890	Conserved	2324.7	13.2	22.99403821	38.47661112	13.53377269	77.82570316	132.1407459	153.18	5.701880561	1011.234326
