GB	connectedness	gamma
GB55583	36	TF
GB52628	1	TF
GB52687	2	TF
GB47443	1	TF
GB41647	3	TF
GB43462	1	TF
GB44974	4	TF
GB52323	7	TF
GB40454	75	TF
GB44679	122	TF
GB55012	56	TF
GB47596	3	TF
GB42706	48	TF
GB51059	1	TF
GB55002	1	TF
GB40564	1	TF
GB43847	4	TF
GB44418	71	TF
GB46509	16	TF
GB52677	2	TF
GB45593	8	TF
GB46211	1	TF
GB53167	4	TF
GB51421	6	TF
GB41600	4	TF
GB49611	44	TF
GB40453	1	TF
GB41865	66	TF
GB42329	8	TF
GB42382	12	TF
GB41522	9	TF
GB54984	20	TF
GB54040	4	TF
GB55635	1	TF
GB44836	53	TF
GB51429	259	TF
GB42321	15	TF
GB47828	42	TF
GB48239	23	TF
GB52625	44	TF
GB53250	5	TF
GB42021	20	TF
GB44870	57	TF
GB52988	56	TF
GB53826	16	TF
GB45540	37	TF
GB50732	12	TF
GB51757	134	TF
GB50071	10	TF
GB48579	33	TF
GB47329	54	TF
GB43179	61	TF
GB44883	113	TF
GB48210	21	TF
GB46492	142	TF
GB42142	114	TF
GB47820	54	TF
GB41516	2	TF
GB45259	161	TF
GB43632	7	TF
GB41803	7	TF
GB54092	1	TF
GB50048	3	TF
GB52058	6	TF
GB48271	55	TF
GB50020	14	TF
GB48273	82	TF
GB44291	7	TF
GB48002	6	TF
GB49604	34	TF
GB43687	2	TF
GB41167	26	TF
GB51725	63	TF
GB46219	51	TF
GB51395	6	TF
GB40150	69	TF
GB53031	42	TF
GB44259	63	TF
GB41450	2	TF
GB46523	44	TF
GB54118	117	TF
GB44351	11	TF
GB53417	6	TF
GB40407	16	TF
GB48366	29	TF
GB52114	6	TF
GB51133	5	TF
GB44585	15	TF
GB43953	1	TF
GB45040	2	TF
GB55103	44	TF
GB44769	47	TF
GB49969	3	TF
GB47788	15	TF
GB40911	86	TF
GB49927	33	TF
GB48360	3	TF
GB48690	31	TF
GB55576	11	TF
GB54841	44	TF
GB41654	35	TF
GB54953	69	TF
GB40387	28	TF
GB43778	22	TF
GB45051	14	TF
GB47991	19	TF
GB50795	18	TF
GB45501	31	TF
GB44976	33	TF
GB49869	33	TF
GB41639	7	TF
GB44656	85	TF
GB44032	15	TF
GB44361	10	TF
GB54378	9	TF
GB50534	9	TF
GB45062	29	TF
GB55540	51	TF
GB55112	54	TF
GB51521	3	TF
GB53401	13	TF
GB44532	8	TF
GB41753	18	TF
GB49751	10	TF
GB42178	12	TF
GB50342	4	TF
GB53164	37	TF
GB41968	20	TF
GB54168	38	TF
GB55837	15	TF
GB55033	3	TF
GB51518	10	TF
GB51615	3	TF
GB52852	4	TF
GB52746	1	TF
GB47515	14	TF
GB54432	2	TF
GB46387	42	TF
GB44653	68	TF
GB44042	6	TF
GB51085	9	TF
GB45757	8	TF
GB49953	96	TF
GB52304	10	TF
GB44031	43	TF
GB48121	16	TF
GB40871	6	TF
GB47057	2	TF
GB51231	13	TF
GB46757	9	TF
GB42213	2	TF
GB49105	11	TF
GB45655	6	TF
GB42049	12	TF
GB45157	38	TF
GB47234	7	TF
GB43159	39	TF
GB50435	14	TF
GB56017	28	TF
GB40147	2	TF
GB45841	22	TF
GB47799	1	TF
GB44229	37	TF
GB48028	2	TF
GB42112	10	TF
GB47260	11	TF
GB53398	95	TF
GB48999	11	TF
GB52047	2	TF
GB52904	1	TF
GB41239	2	TF
GB49315	2	TF
GB53328	5	TF
GB55306	1	TF
GB53318	7	TF
GB53921	101	TF
GB42758	19	TF
GB45074	13	TF
GB45414	1	TF
GB55387	36	TF
GB53296	18	TF
GB51909	2	TF
GB44791	130	TF
GB47052	9	TF
GB51904	7	TF
GB52563	2	TARG
GB42205	5	TARG
GB49487	2	TARG
GB45172	5	TARG
GB47577	2	TARG
GB48882	4	TARG
GB41980	4	TARG
GB46272	4	TARG
GB43158	3	TARG
GB44581	3	TARG
GB45634	3	TARG
GB50288	1	TARG
GB55372	3	TARG
GB48847	2	TARG
GB49527	4	TARG
GB51573	5	TARG
GB55282	4	TARG
GB42266	3	TARG
GB47651	3	TARG
GB52472	4	TARG
GB54919	3	TARG
GB44035	3	TARG
GB46653	3	TARG
GB49933	3	TARG
GB47746	3	TARG
GB46373	3	TARG
GB44166	3	TARG
GB50370	3	TARG
GB51015	5	TARG
GB52591	2	TARG
GB55564	3	TARG
GB43434	2	TARG
GB48154	4	TARG
GB50347	3	TARG
GB40074	4	TARG
GB42489	1	TARG
GB41875	2	TARG
GB47573	3	TARG
GB47996	3	TARG
GB42921	4	TARG
GB41487	3	TARG
GB44886	3	TARG
GB48824	4	TARG
GB42747	3	TARG
GB55539	4	TARG
GB48676	4	TARG
GB41024	3	TARG
GB48597	2	TARG
GB51553	3	TARG
GB50998	4	TARG
GB46732	1	TARG
GB45013	2	TARG
GB53192	3	TARG
GB54288	2	TARG
GB47810	3	TARG
GB46963	3	TARG
GB47455	3	TARG
GB51071	5	TARG
GB42690	4	TARG
GB54462	2	TARG
GB55420	3	TARG
GB41794	4	TARG
GB54251	4	TARG
GB50622	2	TARG
GB48430	4	TARG
