GB	Taxa
GB40001	Insecta
GB40002	NA
GB40005	Insecta
GB40006	Insecta
GB40007	Insecta
GB40008	Insecta
GB40010	Insecta
GB40011	Hymenoptera
GB40012	Insecta
GB40013	Insecta
GB40014	Insecta
GB40015	Insecta
GB40016	Insecta
GB40017	Insecta
GB40018	Insecta
GB40019	Insecta
GB40020	Insecta
GB40021	Insecta
GB40022	Insecta
GB40023	NA
GB40024	NA
GB40025	NA
GB40026	Insecta
GB40027	Insecta
GB40028	Insecta
GB40029	Insecta
GB40030	Insecta
GB40032	Insecta
GB40033	Insecta
GB40034	NA
GB40047	Insecta
GB40053	Insecta
GB40054	Hymenoptera
GB40056	Insecta
GB40057	Insecta
GB40060	NA
GB40061	Insecta
GB40063	Insecta
GB40064	Insecta
GB40065	NA
GB40066	NA
GB40067	Insecta
GB40069	Insecta
GB40070	Hymenoptera
GB40071	Insecta
GB40072	Insecta
GB40073	Insecta
GB40074	Insecta
GB40075	Insecta
GB40076	Insecta
GB40077	Insecta
GB40078	NA
GB40079	NA
GB40080	Hymenoptera
GB40081	NA
GB40082	NA
GB40083	Insecta
GB40084	Hymenoptera
GB40085	Insecta
GB40086	Insecta
GB40087	Hymenoptera
GB40088	NA
GB40089	Insecta
GB40091	Insecta
GB40092	Apoidea
GB40093	Insecta
GB40094	Hymenoptera
GB40095	Insecta
GB40096	NA
GB40098	Insecta
GB40100	Insecta
GB40101	NA
GB40102	Insecta
GB40103	Hymenoptera
GB40104	NA
GB40105	NA
GB40106	Insecta
GB40107	Insecta
GB40108	Insecta
GB40109	Insecta
GB40110	Hymenoptera
GB40111	NA
GB40112	Insecta
GB40113	Insecta
GB40114	Insecta
GB40115	NA
GB40116	NA
GB40117	NA
GB40118	Insecta
GB40119	Insecta
GB40120	Insecta
GB40121	NA
GB40122	Insecta
GB40123	Insecta
GB40124	Insecta
GB40125	NA
GB40126	Insecta
GB40127	NA
GB40128	Insecta
GB40129	Hymenoptera
GB40130	Insecta
GB40131	NA
GB40132	Hymenoptera
GB40133	NA
GB40134	Insecta
GB40135	Insecta
GB40136	Insecta
GB40137	Insecta
GB40138	Insecta
GB40139	Insecta
GB40140	Insecta
GB40141	Insecta
GB40142	Insecta
GB40143	NA
GB40145	Insecta
GB40146	Insecta
GB40147	Insecta
GB40148	Insecta
GB40150	Insecta
GB40151	Insecta
GB40153	NA
GB40154	Hymenoptera
GB40155	Insecta
GB40156	NA
GB40157	Insecta
GB40158	Insecta
GB40159	Insecta
GB40162	Insecta
GB40163	Insecta
GB40164	Insecta
GB40165	Insecta
GB40166	NA
GB40167	NA
GB40168	Insecta
GB40169	Insecta
GB40170	Apis
GB40182	NA
GB40183	Insecta
GB40184	Hymenoptera
GB40185	Insecta
GB40186	Insecta
GB40187	Insecta
GB40188	Insecta
GB40189	Insecta
GB40190	Insecta
GB40191	Hymenoptera
GB40192	Apoidea
GB40193	Hymenoptera
GB40194	NA
GB40195	Hymenoptera
GB40196	Apoidea
GB40197	Insecta
GB40198	Insecta
GB40199	NA
GB40200	Insecta
GB40201	Hymenoptera
GB40202	Hymenoptera
GB40203	Insecta
GB40205	Insecta
GB40206	Insecta
GB40207	Insecta
GB40208	Insecta
GB40209	Insecta
GB40210	NA
GB40211	Insecta
GB40212	Insecta
GB40213	NA
GB40214	NA
GB40217	Insecta
GB40218	Insecta
GB40219	Hymenoptera
GB40221	Insecta
GB40222	Insecta
GB40223	NA
GB40225	Insecta
GB40226	Hymenoptera
GB40227	Hymenoptera
GB40228	Insecta
GB40229	Hymenoptera
GB40230	Insecta
GB40231	Insecta
GB40232	Insecta
GB40233	Hymenoptera
GB40234	Insecta
GB40237	Insecta
GB40238	Insecta
GB40239	Insecta
GB40240	Insecta
GB40253	NA
GB40259	Insecta
GB40261	Insecta
GB40263	Hymenoptera
GB40264	Hymenoptera
GB40265	Insecta
GB40266	Hymenoptera
GB40267	Insecta
GB40268	Hymenoptera
GB40269	Insecta
GB40270	Hymenoptera
GB40271	Insecta
GB40273	Insecta
GB40274	Hymenoptera
GB40278	Insecta
GB40279	Hymenoptera
GB40280	Insecta
GB40282	Insecta
GB40283	Insecta
GB40284	Insecta
GB40285	Insecta
GB40286	Insecta
GB40287	Insecta
GB40288	Insecta
GB40289	Insecta
GB40291	NA
GB40292	NA
GB40293	NA
GB40294	NA
GB40296	Insecta
GB40297	Insecta
GB40298	Hymenoptera
GB40299	NA
GB40300	NA
GB40301	Insecta
GB40302	Insecta
GB40303	Insecta
GB40304	Insecta
GB40305	Insecta
GB40306	Apis
GB40307	Insecta
GB40308	Insecta
GB40309	Insecta
GB40310	Insecta
GB40312	Insecta
GB40313	NA
GB40314	Hymenoptera
GB40316	Insecta
GB40319	Insecta
GB40320	Insecta
GB40321	Apis
GB40330	Insecta
GB40334	NA
GB40335	Insecta
GB40336	Insecta
GB40337	Insecta
GB40338	Insecta
GB40339	Insecta
GB40340	Hymenoptera
GB40341	Insecta
GB40342	Insecta
GB40343	Insecta
GB40345	NA
GB40346	Hymenoptera
GB40347	Hymenoptera
GB40348	Insecta
GB40349	Insecta
GB40350	Insecta
GB40351	NA
GB40352	NA
GB40353	NA
GB40354	Apis
GB40355	Insecta
GB40356	Insecta
GB40357	Insecta
GB40358	Insecta
GB40359	Insecta
GB40360	Insecta
GB40361	Insecta
GB40362	Insecta
GB40363	Insecta
GB40364	Insecta
GB40365	Insecta
GB40366	NA
GB40369	NA
GB40370	NA
GB40375	NA
GB40377	Hymenoptera
GB40378	NA
GB40381	Insecta
GB40382	Insecta
GB40385	Insecta
GB40386	Insecta
GB40387	Insecta
GB40388	Insecta
GB40390	Insecta
GB40391	Insecta
GB40392	Insecta
GB40393	Hymenoptera
GB40394	NA
GB40395	Insecta
GB40396	Hymenoptera
GB40397	Insecta
GB40398	Insecta
GB40399	Insecta
GB40400	Insecta
GB40401	Insecta
GB40403	NA
GB40405	Insecta
GB40406	NA
GB40407	Insecta
GB40408	Hymenoptera
GB40409	Insecta
GB40410	Insecta
GB40411	Insecta
GB40412	Insecta
GB40413	NA
GB40414	Insecta
GB40415	Insecta
GB40416	Insecta
GB40417	Insecta
GB40418	NA
GB40420	Insecta
GB40421	NA
GB40422	Insecta
GB40423	Insecta
GB40424	Insecta
GB40425	Hymenoptera
GB40426	Insecta
GB40427	Insecta
GB40428	Insecta
GB40429	Insecta
GB40430	NA
GB40431	Insecta
GB40432	NA
GB40436	Insecta
GB40437	Hymenoptera
GB40438	Insecta
GB40439	Insecta
GB40440	Insecta
GB40441	Insecta
GB40442	Insecta
GB40444	Insecta
GB40445	Insecta
GB40446	Insecta
GB40447	Insecta
GB40448	Insecta
GB40449	NA
GB40451	Insecta
GB40452	Insecta
GB40453	Insecta
GB40454	Insecta
GB40456	Insecta
GB40457	Insecta
GB40459	Insecta
GB40460	Insecta
GB40461	Insecta
GB40462	Insecta
GB40463	Insecta
GB40464	NA
GB40466	Insecta
GB40467	Insecta
GB40469	NA
GB40471	NA
GB40473	Insecta
GB40475	NA
GB40478	Insecta
GB40479	Insecta
GB40480	Insecta
GB40481	Insecta
GB40483	Insecta
GB40489	Insecta
GB40490	Insecta
GB40491	Insecta
GB40492	Insecta
GB40493	Insecta
GB40495	Insecta
GB40496	Insecta
GB40498	Insecta
GB40500	Insecta
GB40501	Hymenoptera
GB40502	NA
GB40503	Insecta
GB40504	Insecta
GB40507	Insecta
GB40508	Insecta
GB40509	Insecta
GB40510	Insecta
GB40511	Hymenoptera
GB40513	Insecta
GB40514	Insecta
GB40515	Insecta
GB40516	Insecta
GB40517	Insecta
GB40519	Insecta
GB40521	Insecta
GB40522	Insecta
GB40523	Hymenoptera
GB40525	Apis
GB40526	NA
GB40527	NA
GB40529	NA
GB40530	NA
GB40531	Insecta
GB40533	Hymenoptera
GB40534	Insecta
GB40536	Hymenoptera
GB40537	Insecta
GB40538	Insecta
GB40539	Insecta
GB40540	Insecta
GB40541	Insecta
GB40542	Insecta
GB40543	Insecta
GB40545	Insecta
GB40546	Apoidea
GB40547	NA
GB40548	Insecta
GB40549	NA
GB40552	NA
GB40554	Insecta
GB40555	Insecta
GB40556	Insecta
GB40558	Insecta
GB40559	Insecta
GB40560	Insecta
GB40561	Insecta
GB40562	Hymenoptera
GB40563	Insecta
GB40564	Insecta
GB40565	Insecta
GB40566	Insecta
GB40567	Insecta
GB40572	Apis
GB40573	Hymenoptera
GB40574	Insecta
GB40576	Insecta
GB40577	Insecta
GB40578	Insecta
GB40580	Insecta
GB40581	Hymenoptera
GB40582	NA
GB40583	Hymenoptera
GB40584	NA
GB40586	NA
GB40589	Insecta
GB40590	Insecta
GB40592	Insecta
GB40593	Hymenoptera
GB40594	Insecta
GB40595	Insecta
GB40596	Insecta
GB40598	Insecta
GB40599	Insecta
GB40600	Hymenoptera
GB40602	NA
GB40603	Insecta
GB40604	Insecta
GB40605	Apoidea
GB40606	Hymenoptera
GB40607	Apoidea
GB40608	NA
GB40609	Apoidea
GB40610	Insecta
GB40611	Insecta
GB40614	Insecta
GB40615	Insecta
GB40616	Hymenoptera
GB40617	Insecta
GB40618	Insecta
GB40619	Insecta
GB40620	NA
GB40621	NA
GB40622	NA
GB40624	Insecta
GB40625	Insecta
GB40626	Insecta
GB40627	Insecta
GB40629	Insecta
GB40632	NA
GB40633	NA
GB40634	Insecta
GB40635	Insecta
GB40636	NA
GB40637	Insecta
GB40639	Hymenoptera
GB40640	Insecta
GB40641	Hymenoptera
GB40642	Insecta
GB40644	Insecta
GB40645	NA
GB40647	Hymenoptera
GB40648	Insecta
GB40650	NA
GB40652	Insecta
GB40653	Insecta
GB40654	Insecta
GB40655	Insecta
GB40656	Insecta
GB40657	Insecta
GB40658	Hymenoptera
GB40659	Hymenoptera
GB40660	NA
GB40661	NA
GB40662	Hymenoptera
GB40663	Insecta
GB40664	NA
GB40665	Hymenoptera
GB40666	Hymenoptera
GB40667	Hymenoptera
GB40668	Hymenoptera
GB40669	Hymenoptera
GB40670	Insecta
GB40671	Insecta
GB40672	Insecta
GB40673	Insecta
GB40674	Insecta
GB40676	Insecta
GB40678	Insecta
GB40679	NA
GB40681	Insecta
