GB	FGN
GB40001	NA
GB40002	NA
GB40003	NA
GB40005	NA
GB40006	NA
GB40007	NA
GB40008	NA
GB40009	NA
GB40010	FBgn0000360
GB40011	NA
GB40012	FBgn0031702
GB40013	FBgn0025115
GB40014	FBgn0020497
GB40015	FBgn0035028
GB40016	FBgn0085390
GB40017	FBgn0032340
GB40018	FBgn0261789
GB40019	FBgn0263200
GB40020	FBgn0029959
GB40021	NA
GB40022	FBgn0086909
GB40023	NA
GB40024	NA
GB40025	NA
GB40026	FBgn0051619
GB40027	FBgn0051619
GB40028	FBgn0015546
GB40029	NA
GB40030	FBgn0032054
GB40031	FBgn0050382
GB40032	FBgn0031361
GB40033	FBgn0027505
GB40034	NA
GB40035	NA
GB40038	FBgn0036279
GB40039	NA
GB40047	FBgn0016034
GB40050	NA
GB40053	FBgn0033058
GB40054	NA
GB40056	FBgn0052069
GB40057	FBgn0004838
GB40058	NA
GB40059	NA
GB40060	NA
GB40061	FBgn0053481
GB40063	NA
GB40064	NA
GB40065	NA
GB40066	NA
GB40067	NA
GB40069	FBgn0034286
GB40070	NA
GB40071	FBgn0032348
GB40072	FBgn0032393
GB40073	FBgn0261437
GB40074	FBgn0014859
GB40075	FBgn0262743
GB40076	FBgn0032879
GB40077	FBgn0027601
GB40078	NA
GB40079	NA
GB40080	NA
GB40081	NA
GB40082	NA
GB40083	FBgn0032358
GB40084	NA
GB40085	FBgn0029804
GB40086	FBgn0034494
GB40087	NA
GB40088	NA
GB40089	FBgn0259822
GB40090	NA
GB40091	FBgn0030530
GB40092	NA
GB40093	FBgn0053527
GB40094	NA
GB40095	FBgn0000157
GB40096	NA
GB40097	NA
GB40098	FBgn0022936
GB40100	NA
GB40101	NA
GB40102	FBgn0031422
GB40103	NA
GB40104	NA
GB40105	NA
GB40106	FBgn0031421
GB40107	NA
GB40108	FBgn0029161
GB40109	FBgn0004797
GB40110	NA
GB40111	NA
GB40112	NA
GB40113	NA
GB40114	FBgn0034520
GB40115	NA
GB40116	NA
GB40117	NA
GB40118	FBgn0000153
GB40119	FBgn0016013
GB40120	FBgn0033985
GB40121	NA
GB40122	NA
GB40123	NA
GB40124	FBgn0031188
GB40125	NA
GB40126	FBgn0031745
GB40127	NA
GB40128	NA
GB40129	NA
GB40130	NA
GB40131	NA
GB40132	NA
GB40133	NA
